Fondsposition per,"01.Mär.2022"
 
Emittententicker,Name,Sektor,Anlageklasse,Marktwert,Gewichtung (%),Nominalwert,Nominale,Kurs,Standort,Börse,Marktwährung
"ITW","ILLINOIS TOOL INC","Industrie","Aktien","93.241.659,42","0,17","93.241.659,42","442.197,00","210,86","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Aktien","92.388.635,72","0,16","92.388.635,72","656.729,00","140,68","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"VRTX","VERTEX PHARMACEUTICALS INC","Gesundheitsversorgung","Aktien","90.486.999,05","0,16","90.486.999,05","392.245,00","230,69","Vereinigte Staaten","NASDAQ","USD"
"ETN","EATON PLC","Industrie","Aktien","90.155.205,80","0,16","90.155.205,80","615.604,00","146,45","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"FISV","FISERV INC","IT","Aktien","89.108.165,38","0,16","89.108.165,38","918.073,00","97,06","Vereinigte Staaten","NASDAQ","USD"
"FIS","FIDELITY NATIONAL INFORMATION SERV","IT","Aktien","88.006.805,47","0,16","88.006.805,47","939.541,00","93,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"WM","WASTE MANAGEMENT INC","Industrie","Aktien","87.047.998,80","0,15","87.047.998,80","593.860,00","146,58","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"HUM","HUMANA INC","Gesundheitsversorgung","Aktien","85.629.356,00","0,15","85.629.356,00","198.676,00","431,00","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"NEM","NEWMONT","Materialien","Aktien","84.985.538,96","0,15","84.985.538,96","1.231.496,00","69,01","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PSA","PUBLIC STORAGE REIT","Immobilien","Aktien","84.511.071,60","0,15","84.511.071,60","235.420,00","358,98","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"PXD","PIONEER NATURAL RESOURCE","Energie","Aktien","84.228.945,96","0,15","84.228.945,96","350.268,00","240,47","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"GD","GENERAL DYNAMICS CORP","Industrie","Aktien","83.518.760,56","0,15","83.518.760,56","357.958,00","233,32","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"EMR","EMERSON ELECTRIC","Industrie","Aktien","82.639.391,42","0,15","82.639.391,42","923.242,00","89,51","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"SLB","SCHLUMBERGER NV","Energie","Aktien","81.524.660,60","0,14","81.524.660,60","2.164.180,00","37,67","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MRNA","MODERNA INC","Gesundheitsversorgung","Aktien","81.491.539,92","0,14","81.491.539,92","545.021,00","149,52","Vereinigte Staaten","NASDAQ","USD"
"FDX","FEDEX CORP","Industrie","Aktien","81.332.044,77","0,14","81.332.044,77","378.447,00","214,91","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"MCO","MOODYS CORP","Financials","Aktien","80.463.072,90","0,14","80.463.072,90","249.614,00","322,35","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"ILMN","ILLUMINA INC","Gesundheitsversorgung","Aktien","79.644.411,00","0,14","79.644.411,00","241.164,00","330,25","Vereinigte Staaten","NASDAQ","USD"
"KLAC","KLA CORP","IT","Aktien","78.944.249,58","0,14","78.944.249,58","234.402,00","336,79","Vereinigte Staaten","NASDAQ","USD"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materialien","Aktien","78.822.356,54","0,14","78.822.356,54","341.918,00","230,53","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrie","Aktien","77.228.275,88","0,14","77.228.275,88","302.761,00","255,08","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
"CNC","CENTENE CORP","Gesundheitsversorgung","Aktien","74.935.445,20","0,13","74.935.445,20","901.208,00","83,15","Vereinigte Staaten","New York Stock Exchange Inc.","USD"
